trace,model_port,model_tier,faithfulness,compression_ratio,retention,tokens_before,tokens_after,status
session_chat-bddd59dc.md,9996,1.5B,3,0.24,0,728,3016,live
session_chat-bddd59dc.md,8072,7B,3,4.26,3,728,171,live
session_chat-bddd59dc.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-85976843.md,9996,1.5B,3,0.28,3,722,2561,live
session_chat-85976843.md,8072,7B,3,5.47,3,722,132,live
session_chat-85976843.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-dc9369ac.md,9996,1.5B,3,0.24,0,719,3043,live
session_chat-dc9369ac.md,8072,7B,3,4.25,3,719,169,live
session_chat-dc9369ac.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-b5e88ba4.md,9996,1.5B,3,1.0,3,717,717,live
session_chat-b5e88ba4.md,8072,7B,3,4.22,3,717,170,live
session_chat-b5e88ba4.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-edd232fd.md,9996,1.5B,2,0.26,3,714,2709,live
session_chat-edd232fd.md,8072,7B,3,5.17,3,714,138,live
session_chat-edd232fd.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-099e1aca.md,9996,1.5B,2,0.23,1,709,3051,live
session_chat-099e1aca.md,8072,7B,3,3.67,3,709,193,live
session_chat-099e1aca.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-cb781d0a.md,9996,1.5B,2,0.23,1,709,3067,live
session_chat-cb781d0a.md,8072,7B,3,4.82,3,709,147,live
session_chat-cb781d0a.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-8023f1c5.md,9996,1.5B,3,0.28,0,700,2493,live
